net,length_um
_1005_,26.92µm
_0604_,26.88µm
_0867_,26.78µm
_1043_,26.72µm
_0688_,26.7µm
_0570_,26.58µm
_0160_,26.56µm
_0250_,26.56µm
net6,26.56µm
net53,26.52µm
_0307_,26.46µm
_0100_,26.38µm
_0420_,26.34µm
_0150_,26.32µm
_0514_,26.26µm
_0651_,26.2µm
_0430_,26.14µm
_0615_,26.14µm
_0929_,26.08µm
_1010_,26.06µm
_0584_,25.9µm
cn\[10\],25.88µm
_0105_,25.845µm
_0513_,25.76µm
_0796_,25.72µm
_0211_,25.64µm
_0673_,25.6µm
_0221_,25.58µm
_0836_,25.42µm
net64,25.36µm
_0328_,25.32µm
_0292_,25.22µm
_0288_,25.04µm
_1018_,25.02µm
net63,25.02µm
_0773_,24.96µm
_0407_,24.78µm
_1068_,24.74µm
_0097_,24.62µm
_0799_,24.6µm
_0728_,24.58µm
_0229_,24.54µm
_0996_,24.5µm
_0252_,24.46µm
_0448_,24.34µm
_0498_,24.34µm
_0319_,24.32µm
_0313_,24.3µm
_0390_,24.28µm
_0340_,24.24µm
_0457_,24.24µm
_0189_,24.18µm
_0916_,24.18µm
_0870_,24.16µm
_0293_,24.06µm
net10,24.04µm
_0232_,24µm
_0341_,24µm
_0218_,23.96µm
_0339_,23.9µm
_0137_,23.84µm
net62,23.82µm
_0493_,23.78µm
_0147_,23.66µm
_0507_,23.66µm
_1071_,23.52µm
_0578_,23.5µm
_0669_,23.5µm
net16,23.5µm
_0120_,23.48µm
_0495_,23.4µm
_0336_,23.28µm
net24,23.28µm
_0491_,23.24µm
_0131_,23.06µm
_0812_,23.04µm
_0558_,22.94µm
_0568_,22.89µm
net25,22.85µm
_0511_,22.82µm
net15,22.82µm
_0612_,22.78µm
_0918_,22.7µm
_0763_,22.62µm
cn_dn\[18\],22.62µm
_0608_,22.6µm
_0170_,22.56µm
_1016_,22.54µm
_0555_,22.5µm
_0320_,22.36µm
_0948_,22.36µm
_0947_,22.32µm
_0251_,22.24µm
_0828_,22.24µm
_0875_,22.22µm
_1082_,22.2µm
_0249_,22µm
cn\[6\],21.98µm
_0686_,21.94µm
_0375_,21.88µm
_0088_,21.8µm
_1089_,21.78µm
_0408_,21.74µm
_0200_,21.7µm
_0335_,21.64µm
_0455_,21.52µm
_0488_,21.46µm
_1036_,21.44µm
cn\[19\],21.34µm
_0159_,21.32µm
_0116_,21.2µm
_0886_,21.16µm
_0515_,21.12µm
_0813_,21.12µm
_0140_,21.06µm
_0223_,21.06µm
_0104_,20.9µm
_0986_,20.89µm
_0924_,20.78µm
_1047_,20.78µm
_0244_,20.76µm
_0373_,20.7µm
_0684_,20.7µm
_1091_,20.68µm
_0283_,20.58µm
_0976_,20.54µm
_1065_,20.52µm
_0466_,20.42µm
encipher_en_sync,20.4µm
net19,20.34µm
_0960_,20.32µm
_0561_,20.26µm
_1094_,20.22µm
_0654_,20.2µm
_0356_,20.18µm
_0424_,20.14µm
_0536_,20.12µm
net32,20.08µm
_0861_,20.06µm
_0325_,19.98µm
_1044_,19.94µm
_0569_,19.92µm
_0681_,19.9µm
_1000_,19.84µm
_0625_,19.78µm
_0393_,19.74µm
_0368_,19.68µm
net33,19.62µm
_0581_,19.58µm
_1067_,19.48µm
_1079_,19.48µm
_0841_,19.44µm
_0657_,19.42µm
_0009_,19.24µm
_0227_,19.18µm
_0974_,19.12µm
_0174_,19.08µm
net38,19.06µm
_0431_,18.98µm
_1090_,18.98µm
_0674_,18.86µm
_0958_,18.86µm
_0367_,18.84µm
_0437_,18.84µm
_0475_,18.84µm
_0609_,18.76µm
_0938_,18.74µm
_0205_,18.68µm
_0435_,18.64µm
_0975_,18.52µm
_0489_,18.46µm
_0178_,18.44µm
_1051_,18.28µm
_1086_,18.28µm
_0031_,18.165µm
_0090_,18.145µm
_0963_,18.14µm
_1027_,18.12µm
_0290_,18.04µm
_0744_,18.02µm
_0419_,17.94µm
_1001_,17.94µm
_0187_,17.9µm
_0579_,17.86µm
_0236_,17.8µm
_0396_,17.8µm
_0460_,17.8µm
_0955_,17.745µm
_1040_,17.7µm
_1076_,17.66µm
_0428_,17.64µm
_0132_,17.6µm
_0000_,17.505µm
_0151_,17.48µm
_0198_,17.4µm
_0618_,17.4µm
_1032_,17.3µm
_0917_,17.21µm
_0048_,17.165µm
_0725_,17.06µm
_0397_,17.04µm
_0172_,16.98µm
_0876_,16.98µm
_0287_,16.84µm
_0347_,16.84µm
cn_dn\[13\],16.82µm
_1098_,16.76µm
_0497_,16.72µm
_0344_,16.68µm
_0196_,16.62µm
_0481_,16.56µm
_0321_,16.44µm
_0173_,16.3µm
_1083_,16.3µm
_0563_,16.26µm
_0826_,16.22µm
_0284_,16.16µm
_0682_,16.14µm
_0967_,16.06µm
_0162_,16µm
_0175_,15.98µm
_0404_,15.96µm
_0941_,15.94µm
_0092_,15.88µm
_0862_,15.82µm
_1002_,15.76µm
_0361_,15.72µm
net27,15.69µm
_0696_,15.635µm
_0977_,15.56µm
_0711_,15.44µm
_0857_,15.44µm
_0738_,15.42µm
_0776_,15.42µm
_1072_,15.38µm
_0108_,15.365µm
_1050_,15.28µm
net12,15.27µm
_0671_,15.26µm
_0506_,15.22µm
_0427_,15.16µm
_1093_,15.16µm
des_data[58],15.14µm
_0203_,15.04µm
_0079_,14.975µm
_0243_,14.96µm
_0154_,14.94µm
_0943_,14.92µm
_0084_,14.895µm
_0122_,14.885µm
_1095_,14.88µm
des_data[10],14.88µm
des_data[30],14.88µm
_0240_,14.85µm
_0443_,14.84µm
_1056_,14.84µm
